Date,Cash Value,Holding Value,Total,AMZN,MSFT,NVDA,TSLA,GOOGL,META,AAPL
2013-01-02,10000,0,10000,0,0,0,0,0,0,0
2013-01-03,10000,0.0,10000.0,0,0,0,0,0,0,0
2013-01-04,10000,0.0,10000.0,0,0,0,0,0,0,0
2013-01-07,10000,0.0,10000.0,0,0,0,0,0,0,0
2013-01-08,10000,0.0,10000.0,0,0,0,0,0,0,0
2013-01-09,10000,0.0,10000.0,0,0,0,0,0,0,0
2013-01-10,10000,0.0,10000.0,0,0,0,0,0,0,0
2013-01-11,10000,0.0,10000.0,0,0,0,0,0,0,0
2013-01-14,10000,0.0,10000.0,0,0,0,0,0,0,0
2013-01-15,6996.828575134277,2950.2286529541016,9947.057228088379,0,0,0,0,0,0,170
2013-01-16,6996.828575134277,3072.6891708374023,10069.51774597168,0,0,0,0,0,0,170
2013-01-17,6996.828575134277,3051.9855308532715,10048.814105987549,0,0,0,0,0,0,170
2013-01-18,6996.828575134277,3035.7143783569336,10032.542953491211,0,0,0,0,0,0,170
2013-01-22,6996.828575134277,3064.6750259399414,10061.503601074219,0,0,0,0,0,0,170
2013-01-23,6996.828575134277,3120.7750129699707,10117.603588104248,0,0,0,0,0,0,170
2013-01-24,5399.781726837158,4328.01815032959,9727.799877166748,0,0,0,0,0,0,269
2013-01-25,4227.022742271423,5404.240013122559,9631.262755393982,0,0,0,0,0,0,344
2013-01-28,4227.022742271423,5526.482879638672,9753.505621910095,0,0,0,0,0,0,344
2013-01-29,4227.022742271423,5630.174057006836,9857.19679927826,0,0,0,0,0,0,344
2013-01-30,4227.022742271423,5612.482879638672,9839.505621910095,0,0,0,0,0,0,344
2013-01-31,4227.022742271423,5596.019973754883,9823.042716026306,0,0,0,0,0,0,344
2013-02-01,4227.022742271423,5573.045654296875,9800.068396568298,0,0,0,0,0,0,344
2013-02-04,3407.48273563385,6249.407203674316,9656.889939308167,0,0,0,0,0,29,344
2013-02-05,3407.48273563385,6455.451553344727,9862.934288978577,0,0,0,0,0,29,344
2013-02-06,3407.48273563385,6461.321575164795,9868.804310798645,0,0,0,0,0,29,344
2013-02-07,3407.48273563385,6583.267240524292,9990.749976158142,0,0,0,0,0,29,344
2013-02-08,3407.48273563385,6663.418590545654,10070.901326179504,0,0,0,0,0,29,344
2013-02-11,3407.48273563385,6715.822492599487,10123.305228233337,0,0,0,0,0,29,344
